sample,factor,value,group
F374,Factor2,0.755201916096627,single_group
F375,Factor2,1.55069286277912,single_group
F376,Factor2,-2.42049784690442,single_group
F377,Factor2,-0.000369049816267043,single_group
F378,Factor2,-0.159909535185969,single_group
F379,Factor2,1.3350862296108,single_group
F380,Factor2,0.803554361615594,single_group
F381,Factor2,0.838198432535174,single_group
F382,Factor2,1.46676126644224,single_group
F383,Factor2,0.989389153661723,single_group
F386,Factor2,0.122757677709871,single_group
F388,Factor2,0.254180325831681,single_group
F389,Factor2,-0.994977140604555,single_group
F390,Factor2,-2.35674264610209,single_group
F391,Factor2,0.399732597424285,single_group
F392,Factor2,1.42500302000606,single_group
F393,Factor2,-2.24217538743333,single_group
F394,Factor2,0.272300934709355,single_group
F395,Factor2,0.685356835055201,single_group
F397,Factor2,1.55321229774071,single_group
F398,Factor2,1.05961951054322,single_group
F399,Factor2,0.833480965184713,single_group
F400,Factor2,-0.632734922643486,single_group
F401,Factor2,1.85336385158193,single_group
F404,Factor2,2.25114509545688,single_group
F405,Factor2,1.55431031897411,single_group
F408,Factor2,2.57771817534374,single_group
F410,Factor2,-0.936750069045296,single_group
F411,Factor2,0.15147562982423,single_group
F412,Factor2,0.735048221888198,single_group
F413,Factor2,0.00171868010319008,single_group
F414,Factor2,-8.14915866477889e-05,single_group
F415,Factor2,-3.63905746486328,single_group
F417,Factor2,0.391370745518301,single_group
F418,Factor2,-0.000937015632784309,single_group
F419,Factor2,0.250796989288868,single_group
F420,Factor2,0.0793121684058181,single_group
F211,Factor2,-1.02924168866697,single_group
F222,Factor2,0.824903497455418,single_group
F228,Factor2,-1.44991496546576,single_group
F238,Factor2,0.161680211707445,single_group
F246,Factor2,-2.05367385876771,single_group
F254,Factor2,-2.74531749627325,single_group
F272,Factor2,0.750544700979702,single_group
F284,Factor2,0.0584903960287873,single_group
F313,Factor2,-2.80327852840115,single_group
F322,Factor2,0.800048472948852,single_group
F330,Factor2,1.16382960280582,single_group
F337,Factor2,0.942784049261238,single_group
F348,Factor2,-0.900878450040953,single_group
F357,Factor2,0.125630087825547,single_group
F369,Factor2,1.30013888210903,single_group
F364,Factor2,0.447297015496273,single_group
F370,Factor2,2.66646548568258,single_group
F347,Factor2,0.540117548483352,single_group
