feature,factor,value,view
NC_059442.1+LOC106568681,Factor1,0.172794881871127,HostRNA
NW_025549709.1+LOC123738715,Factor1,-0.0162739652723886,HostRNA
NC_059454.1+LOC106566399,Factor1,0.227647507006581,HostRNA
NC_059467.1+crld2,Factor1,0.403407764639926,HostRNA
NC_059458.1+LOC106576384,Factor1,0.310689495135323,HostRNA
NC_059450.1+LOC106613249,Factor1,0.407089321215437,HostRNA
NC_059442.1+LOC106612488,Factor1,-0.00288330453534485,HostRNA
NC_059456.1+LOC106571431,Factor1,0.566168267061931,HostRNA
NC_059450.1+LOC106612711,Factor1,0.525751304205326,HostRNA
NC_059450.1+LOC100380299,Factor1,0.550796281930132,HostRNA
NC_059452.1+epdl2,Factor1,-0.00672462553023675,HostRNA
NC_059457.1+LOC106593628,Factor1,0.531597059216636,HostRNA
NC_059450.1+LOC106611589,Factor1,0.157992850797242,HostRNA
NC_059456.1+LOC106572526,Factor1,-0.00912047258018871,HostRNA
NC_059453.1+LOC123725541,Factor1,0.347163042786406,HostRNA
NC_059469.1+LOC106589894,Factor1,0.00216309960537606,HostRNA
NW_025548489.1+LOC123733099,Factor1,-0.0134469073106466,HostRNA
NC_059469.1+LOC106589839,Factor1,0.366336513715079,HostRNA
NC_059468.1+LOC106589109,Factor1,-0.0597527857057564,HostRNA
NC_059469.1+LOC106589386,Factor1,-0.186766166072603,HostRNA
NC_059461.1+LOC106581480,Factor1,0.104063791061175,HostRNA
NC_059442.1+LOC106568813,Factor1,0.505277006203075,HostRNA
NC_059460.1+pi15a,Factor1,0.492142697939643,HostRNA
NC_059445.1+LOC100194720,Factor1,-0.18193869193864,HostRNA
NC_059461.1+isg15,Factor1,-0.128258740612663,HostRNA
NC_059458.1+LOC106576427,Factor1,-0.0592793118056061,HostRNA
NC_059444.1+LOC106599076,Factor1,9.98575262677655e-05,HostRNA
NC_001960.1+rna133451,Factor1,-0.000959688637474998,HostRNA
NC_059468.1+LOC106588725,Factor1,0.00210236343958224,HostRNA
NC_059459.1+scdb,Factor1,0.00327793399875391,HostRNA
NC_059446.1+LOC123743131,Factor1,0.0101385265143309,HostRNA
NC_059470.1+LOC123731535,Factor1,0.00821360972791934,HostRNA
NC_059442.1+actn1,Factor1,0.538482262855509,HostRNA
NC_059444.1+LOC123741740,Factor1,-0.063982967675903,HostRNA
NC_059445.1+LOC106602685,Factor1,0.00169657665961573,HostRNA
NC_059447.1+aqp8,Factor1,0.0465373720543637,HostRNA
NC_059460.1+LOC106578631,Factor1,0.170178214312748,HostRNA
NC_059444.1+LOC106601559,Factor1,-0.0040116394776954,HostRNA
NC_059460.1+LOC106579337,Factor1,-0.00152858362926107,HostRNA
NC_059454.1+LOC106568508,Factor1,0.067790314957548,HostRNA
NC_059443.1+LOC106590330,Factor1,-0.00365610666769873,HostRNA
NC_059460.1+cubn,Factor1,0.0927453823898563,HostRNA
NC_059453.1+LOC101448032,Factor1,0.000418175282263747,HostRNA
NC_059455.1+LOC106592181,Factor1,0.47580251101845,HostRNA
NC_059453.1+nbl1,Factor1,0.489917554258174,HostRNA
NC_059466.1+LOC106586419,Factor1,-0.000512838627529682,HostRNA
NC_059455.1+LOC106570315,Factor1,-0.00336083601902077,HostRNA
NC_059468.1+LOC106588303,Factor1,0.319266097796939,HostRNA
NC_059455.1+LOC106568918,Factor1,0.444425449483907,HostRNA
NC_059463.1+LOC106582712,Factor1,0.401121743211753,HostRNA
NC_059442.1+LOC106608814,Factor1,0.526290399528953,HostRNA
NC_059447.1+col1a1a,Factor1,0.464220600320243,HostRNA
NC_059468.1+LOC106588402,Factor1,0.00217566759023426,HostRNA
NC_059457.1+LOC106573483,Factor1,-0.110127002423597,HostRNA
NC_059463.1+helz2a,Factor1,0.094384593779558,HostRNA
NC_059447.1+ctsbb,Factor1,-0.00505731672559752,HostRNA
NC_059451.1+LOC106613965,Factor1,0.0926062133210436,HostRNA
NC_059459.1+LOC106577553,Factor1,-0.0422667912019927,HostRNA
NC_059442.1+LOC106560797,Factor1,-0.00225575502326565,HostRNA
NC_059443.1+apoeb,Factor1,0.00387174107871581,HostRNA
NC_059453.1+LOC106566147,Factor1,0.000168801626537874,HostRNA
